,PdDistrict,DayOfWeek,AvgTemp,NFLGameDay,Month,MonthPeriod,Crimes
12845,4,2,11,0,0,1,1
4454,4,0,17,0,5,2,1
9050,9,6,9,0,11,1,1
16215,4,3,10,1,11,0,1
20256,5,0,14,0,1,1,0
12994,3,3,13,0,1,1,1
6733,3,5,17,0,8,2,1
11793,2,2,21,0,5,1,0
3892,2,0,12,0,1,1,1
2613,3,6,14,0,5,0,1
12167,6,1,19,0,8,2,0
6935,5,1,12,0,9,1,0
1575,5,4,13,0,10,2,0
8917,7,6,12,0,10,1,2
7988,8,1,17,0,4,1,0
12131,0,0,17,0,8,0,1
1583,3,0,14,0,10,2,1
16201,0,2,12,0,11,0,0
1520,0,2,12,0,10,0,1
1617,7,1,9,0,10,1,1
16786,5,1,12,0,3,0,0
21778,7,6,13,0,11,1,2
20642,1,5,24,0,4,2,0
7621,1,3,18,0,2,2,1
17698,7,1,23,0,9,0,2
5058,8,5,18,0,9,2,0
2318,8,1,13,0,3,2,0
405,5,2,13,0,2,1,0
219,9,1,11,0,1,2,0
4123,3,3,13,0,3,0,0
18964,3,5,16,0,5,2,2
9482,1,0,12,0,2,1,0
18945,4,3,14,0,5,0,1
2037,7,1,13,0,1,2,1
7947,7,4,13,0,4,2,2
1022,2,0,18,0,6,1,0
7434,4,5,11,0,1,0,1
266,6,2,13,0,1,1,0
12550,9,4,12,0,10,1,0
3827,7,0,12,0,1,2,1
13110,9,4,13,0,2,1,0
19428,7,2,23,0,8,0,2
1351,1,6,16,0,9,0,1
17813,2,2,16,0,9,2,0
4665,5,0,18,0,6,1,0
1263,3,1,19,0,8,2,2
14302,1,0,12,0,10,2,0
3584,4,5,11,0,11,1,1
5524,4,3,9,0,0,2,0
7913,3,1,13,0,4,2,1
7472,2,2,14,0,1,0,1
4723,3,4,18,0,7,2,1
18747,6,1,19,0,3,1,0
20196,5,2,13,0,1,0,0
17989,8,5,13,0,10,1,0
4762,2,1,16,0,7,1,1
14982,1,6,12,0,3,0,0
19163,2,1,20,0,6,1,0
13802,1,4,17,0,7,2,0
9680,9,6,12,0,3,1,0
3517,7,5,12,0,11,0,1
17083,2,6,15,0,4,1,0
3833,3,2,13,0,1,2,0
14483,2,5,12,0,11,1,0
4708,8,5,17,0,7,0,0
3307,7,5,13,0,9,1,1
6291,1,3,14,0,5,2,0
17470,9,2,17,0,7,2,0
5440,0,2,13,0,11,1,0
20259,8,0,14,0,1,1,0
11337,6,1,14,0,2,1,0
9886,5,6,19,0,5,2,0
16697,6,2,12,0,2,0,0
16798,7,5,14,0,3,0,2
13722,1,6,17,0,6,1,1
9577,6,3,12,0,3,0,0
15197,6,6,14,0,4,2,0
5088,8,0,15,0,9,1,0
9571,0,3,12,0,3,0,0
895,5,2,19,0,5,1,0
10981,0,1,13,0,0,2,1
1225,5,4,19,0,8,0,0
9676,5,6,12,0,3,1,0
6408,8,4,19,0,6,2,0
19938,7,1,11,1,11,1,1
4754,4,3,18,0,7,2,0
16768,7,2,9,0,2,1,2
6955,5,6,14,0,10,0,0
6110,0,6,13,0,4,2,1
6761,1,0,18,0,8,1,1
18214,3,4,9,0,0,0,1
18645,4,0,15,0,3,0,2
20424,3,1,12,0,2,1,1
17149,8,5,18,0,5,2,0
4860,0,4,18,0,8,0,1
14644,3,4,12,0,0,1,1
6266,6,4,17,0,5,2,0
16760,9,0,11,0,2,1,0
3796,6,5,11,0,1,0,0
3904,4,2,13,0,1,1,1
21632,1,6,15,0,10,1,1
9639,8,2,10,0,3,2,0
21514,3,0,16,0,9,1,1
9893,2,4,22,0,5,2,0
11611,0,1,13,0,4,1,1
13626,5,3,19,0,6,0,0
7702,2,1,13,0,3,0,0
18336,5,5,11,0,1,0,0
18314,3,3,9,0,0,1,1
14615,4,1,12,0,0,1,0
2788,8,2,16,0,6,0,0
6268,8,4,17,0,5,2,0
1180,0,3,23,0,7,1,0
13670,9,4,19,0,6,2,1
61,1,3,14,0,0,2,0
12482,1,0,12,0,10,2,1
5422,2,4,11,0,11,1,1
19217,6,2,17,0,6,1,0
1459,9,2,17,0,9,2,0
20270,9,2,13,0,1,1,1
5358,8,4,9,0,11,2,1
22343,2,4,19,0,3,2,1
15626,5,4,16,0,7,2,0
11743,2,1,19,0,5,1,0
19491,0,2,17,0,8,1,0
7336,6,2,6,0,0,2,0
16219,8,3,10,1,11,0,0
12706,5,2,8,0,11,1,0
14921,0,4,9,0,2,1,1
1395,5,3,17,1,9,0,0
22027,6,3,16,0,1,0,0
3889,9,4,12,0,1,1,0
18569,8,4,11,0,2,1,0
596,6,4,16,0,4,0,0
5620,0,6,16,0,1,0,1
13347,6,3,14,0,4,0,0
16916,5,3,16,0,3,1,0
17444,3,4,17,0,7,0,1
5639,9,4,15,0,1,0,0
4849,9,5,16,0,8,0,0
3299,9,1,13,0,9,1,1
14276,5,5,16,0,10,2,0
11670,9,2,16,0,4,1,0
15816,5,5,22,0,8,2,0
3032,2,6,18,0,8,0,0
20614,3,2,16,0,4,0,1
2094,4,3,11,0,1,1,0
21290,9,6,22,0,8,2,0
12507,6,3,12,0,10,2,0
12157,6,3,18,0,8,0,0
3856,6,1,14,0,1,1,0
4459,9,0,17,0,5,2,1
6601,1,6,16,0,7,1,1
12019,8,3,22,0,7,0,0
12320,9,5,17,0,9,2,0
1829,9,1,8,0,0,0,0
12064,3,0,20,0,7,1,2
11420,9,5,10,0,3,2,1
11742,1,1,19,0,5,1,1
5838,8,6,11,0,2,1,0
1484,4,5,21,0,9,1,1
6088,8,3,14,0,4,0,0
6911,1,2,20,0,9,1,1
10402,1,2,18,0,8,2,0
17712,1,6,21,0,9,0,0
11376,5,0,11,0,3,0,1
3647,7,1,11,0,0,0,1
4929,9,6,17,0,8,1,1
15012,1,2,11,0,3,0,0
19140,9,0,16,0,6,2,0
7344,4,3,4,0,0,2,1
3831,1,2,13,0,1,2,1
14832,1,5,13,0,2,0,0
10658,7,6,16,0,10,2,1
15844,3,0,19,0,8,1,1
6690,0,0,16,0,8,0,1
7055,5,2,14,0,10,2,0
17440,9,6,18,0,7,0,0
8660,0,2,14,0,9,0,0
27,7,6,10,0,0,0,2
9002,2,0,8,0,11,2,0
4147,7,5,15,0,3,2,1
805,5,4,13,0,5,2,0
15860,9,2,17,0,8,1,0
21869,8,0,14,0,0,0,0
12259,8,6,16,0,8,1,0
12829,8,4,11,0,0,1,0
20396,5,0,14,0,2,1,0
17102,1,0,16,0,5,0,1
9384,3,5,12,0,2,0,1
19354,3,2,18,0,7,1,1
20911,0,1,17,0,6,0,1
985,5,1,18,0,6,1,0
18566,5,4,11,0,2,1,0
6583,3,1,16,0,7,1,1
18911,0,4,14,0,4,1,0
925,5,5,17,0,6,0,0
12117,6,6,24,0,8,0,0
1003,3,6,17,0,6,1,1
15431,0,2,17,0,6,0,1
8035,5,2,13,0,5,0,0
18169,8,2,9,0,11,1,0
11935,4,2,16,0,6,1,1
12985,4,2,13,0,1,1,0
5349,9,6,9,0,11,2,0
17366,5,6,18,0,6,1,0
9498,7,2,14,0,2,1,1
18229,8,0,9,0,0,2,0
16468,7,4,13,0,0,1,2
2798,8,3,17,0,6,2,0
17829,8,3,14,0,9,1,0
20963,2,2,17,0,6,2,0
11149,8,6,10,0,1,2,0
21282,1,6,22,0,8,2,1
5595,5,3,12,0,0,1,0
2324,4,5,13,0,3,2,1
8645,5,4,15,0,9,0,0
18656,5,2,14,0,3,0,0
5441,1,2,13,0,11,1,1
18796,5,2,21,0,4,0,0
14030,9,0,23,0,8,1,0
14966,5,1,16,0,3,0,0
7182,2,0,12,0,11,2,1
21652,1,0,13,0,10,1,1
5341,1,6,9,0,11,2,0
3730,0,6,13,0,0,1,0
10764,3,3,13,1,10,1,1
16865,4,5,14,0,3,2,0
21001,0,6,21,0,6,1,1
10262,1,2,18,0,7,1,1
12633,2,2,10,0,11,2,0
12778,7,2,11,0,0,2,2
8885,5,3,14,1,10,2,0
17112,1,2,16,0,5,0,0
4502,2,6,18,0,5,1,0
3980,0,3,14,0,2,2,1
2163,3,3,16,0,2,0,1
9294,3,3,13,0,1,0,1
2896,6,6,18,0,7,0,0
6627,7,0,18,0,7,1,2
21547,6,1,16,0,10,0,0
13094,3,6,13,0,2,1,1
21460,9,2,22,0,9,2,0
17199,8,3,18,0,5,2,0
21789,8,4,11,0,11,1,0
20008,7,1,11,0,0,0,2
3195,5,0,16,0,9,0,0
19243,2,5,17,0,7,0,0
8115,5,3,17,0,5,2,0
9687,6,4,13,0,4,0,0
11429,8,6,9,0,3,2,0
464,4,0,11,0,3,0,1
13532,1,0,14,0,5,2,1
4369,9,6,17,0,5,0,0
11135,4,5,11,0,1,2,0
4237,7,4,16,0,4,0,1
9514,3,1,11,0,2,1,0
15911,0,0,15,0,9,0,0
12384,3,5,15,0,9,1,2
22287,6,0,14,0,3,0,0
22126,5,6,13,0,2,0,0
17256,5,2,18,0,5,1,0
794,4,6,13,0,5,2,2
21813,2,3,10,1,11,1,0
6886,6,6,17,0,9,2,0
19144,3,2,17,0,6,2,1
17178,7,0,17,0,5,2,2
22121,0,6,13,0,2,0,1
6661,1,5,17,0,8,0,0
13531,0,0,14,0,5,2,1
17263,2,3,17,0,6,0,1
10508,7,5,18,0,9,2,2
12735,4,5,14,0,0,2,0
3042,2,4,18,0,8,0,1
1043,3,3,17,0,6,1,1
11845,4,4,16,0,6,0,0
20288,7,1,13,0,2,0,2
14762,1,5,9,0,1,1,1
7386,6,4,8,0,0,1,0
11175,4,2,13,0,1,1,1
1844,4,6,11,0,0,0,1
4278,8,1,16,0,4,2,0
3835,5,2,13,0,1,2,0
3460,0,4,13,0,10,1,0
18930,9,0,17,0,4,1,1
9362,1,3,11,0,1,1,0
5025,5,2,15,0,9,0,0
7331,1,2,6,0,0,2,0
5271,1,6,12,0,10,1,0
275,5,3,12,0,1,1,0
14177,6,2,17,0,9,1,0
2692,2,4,16,0,5,1,0
6322,2,6,18,0,5,1,1
13838,7,3,16,0,7,2,2
14601,0,3,11,0,0,2,0
10163,2,6,15,0,7,0,0
3075,5,3,26,0,8,0,0
10072,1,1,15,0,6,1,0
7899,9,2,14,0,4,0,1
18797,6,2,21,0,4,0,0
17693,2,1,23,0,9,0,1
17493,2,5,16,0,7,1,1
9586,5,1,12,0,3,2,0
8746,6,3,17,1,9,1,0
20520,9,6,17,0,3,2,0
1886,6,3,12,0,0,2,0
8537,7,3,18,0,8,0,2
6829,9,4,15,0,9,0,0
10705,4,1,12,0,10,1,1
16775,4,3,11,0,2,1,1
4176,6,0,17,0,3,1,0
2236,6,3,14,0,2,1,0
2853,3,2,20,0,6,1,1
7453,3,4,12,0,1,0,1
16430,9,3,9,0,0,2,0
15629,8,4,16,0,7,2,0
15736,5,1,15,0,8,0,0
12645,4,3,12,0,11,2,0
20285,4,1,13,0,2,0,1
2453,3,1,14,0,4,0,1
4314,4,0,17,0,4,2,1
21224,3,4,20,0,8,0,1
8076,6,6,21,0,5,2,0
8552,2,5,16,0,8,2,0
16827,6,0,10,0,3,0,0
8481,1,5,18,0,8,0,0
16796,5,5,14,0,3,0,0
20399,8,0,14,0,2,1,0
10149,8,1,14,0,7,0,0
8585,5,0,18,0,8,1,0
20,0,6,10,0,0,0,1
10504,3,5,18,0,9,2,2
10436,5,5,18,0,8,1,0
13449,8,6,17,0,5,0,0
5386,6,3,14,1,11,2,0
17540,9,2,16,0,7,1,0
7723,3,6,15,0,3,0,0
14525,4,2,10,0,0,0,1
10935,4,6,9,0,0,0,1
12769,8,0,10,0,0,2,1
5278,8,6,12,0,10,1,1
16416,5,2,10,1,0,2,0
5133,3,6,14,0,10,0,1
16606,5,4,14,0,1,1,1
863,3,6,23,0,5,1,1
871,1,4,27,0,5,1,1
1508,8,4,13,0,9,1,0
15153,2,2,13,0,4,0,0
11066,5,5,13,0,1,0,0
10608,7,0,18,0,9,1,2
18254,3,1,8,0,0,1,0
14851,0,4,12,0,2,0,0
4124,4,3,13,0,3,0,1
17635,4,5,15,0,8,2,1
2466,6,5,13,0,4,2,0
4216,6,5,16,0,4,0,0
8877,7,2,14,0,10,2,2
7103,3,4,9,0,10,1,1
5375,5,2,9,0,11,2,0
18518,7,2,12,0,2,0,1
5613,3,5,14,0,1,0,1
16105,4,6,13,0,10,2,1
8866,6,0,14,0,10,2,0
1711,1,4,10,0,11,2,1
18737,6,3,18,0,3,1,0
12594,3,5,5,0,11,0,1
912,2,1,14,0,6,0,1
4789,9,6,18,0,7,1,0
15318,7,1,15,0,5,2,2
2899,9,6,18,0,7,0,0
4035,5,0,12,0,2,1,0
17913,2,5,13,0,10,2,1
13343,2,3,14,0,4,0,0
19997,6,3,13,1,11,1,0
4257,7,2,16,0,4,0,2
9495,4,2,14,0,2,1,1
19907,6,0,8,0,11,2,0
17637,6,5,15,0,8,2,0
19131,0,0,16,0,6,2,0
1254,4,3,17,1,8,0,0
17244,3,0,17,0,5,1,0
22143,2,0,16,0,2,0,0
10011,0,5,23,0,6,0,1
2122,2,6,12,0,2,0,1
2673,3,5,16,0,5,1,1
13911,0,1,23,0,8,0,0
6118,8,6,13,0,4,2,1
19884,3,6,9,0,11,2,1
3611,1,0,11,0,11,1,1
21106,5,2,18,0,7,0,1
11063,2,5,13,0,1,0,1
7066,6,3,14,1,10,2,0
337,7,2,11,0,2,0,2
20115,4,0,13,0,0,1,1
17516,5,4,16,0,7,1,0
11909,8,6,15,0,6,1,0
4004,4,5,12,0,2,1,1
18185,4,1,9,0,0,0,1
22409,8,6,16,0,3,1,1
20071,0,1,13,0,0,2,1
8915,5,6,12,0,10,1,0
10445,4,6,19,0,9,0,1
7771,1,1,16,0,3,2,1
7017,7,5,13,0,10,2,1
13373,2,6,14,0,4,2,0
7261,1,2,8,0,11,1,1
18056,5,5,11,0,11,2,0
19010,9,2,14,0,5,2,0
20235,4,6,14,0,1,2,0
1841,1,6,11,0,0,0,1
33,3,4,11,0,0,0,1
13340,9,2,14,0,4,0,0
10274,3,3,19,0,7,1,1
1076,6,6,19,0,7,0,0
8503,3,4,21,0,8,0,1
5399,9,1,14,0,11,1,0
11752,1,5,19,0,5,1,0
17855,4,6,16,0,9,1,1
15176,5,1,13,0,4,2,0
5158,8,0,15,0,10,0,1
8271,1,5,18,0,6,1,0
16533,2,4,13,0,1,0,0
21735,4,2,11,0,11,2,1
19212,1,2,17,0,6,1,1
5886,6,1,12,0,3,0,0
19500,9,2,17,0,8,1,0
5270,0,6,12,0,10,1,1
1745,5,3,10,1,11,2,0
18730,9,2,17,0,3,2,0
12822,1,4,11,0,0,1,0
5280,0,4,13,0,11,0,1
9202,1,0,9,0,0,1,0
11512,1,0,13,0,4,0,1
1024,4,0,18,0,6,1,2
4718,8,6,17,0,7,0,1
13476,5,2,21,0,5,0,0
18125,4,5,9,0,11,1,0
19272,1,0,17,0,7,0,1
8632,2,6,16,0,9,0,1
13628,7,3,19,0,6,0,2
17392,1,2,16,0,6,1,1
3743,3,4,11,0,0,1,1
7471,1,2,14,0,1,0,0
10035,4,4,20,0,6,0,1
20706,5,1,18,0,4,1,0
21158,7,4,20,0,7,1,2
9416,5,0,13,0,2,0,0
6813,3,6,16,0,9,0,1
10633,2,1,13,1,10,0,0
6821,1,4,15,0,9,0,0
7440,0,6,13,0,1,0,0
15090,9,2,13,0,3,1,0
10424,3,1,16,0,8,1,1
20361,0,5,16,0,2,2,1
15359,8,0,16,0,5,2,0
2357,7,0,12,0,3,2,2
4664,4,0,18,0,6,1,1
20310,9,6,17,0,2,0,1
8376,6,0,18,0,7,0,0
20599,8,4,23,0,4,0,0
5707,7,4,12,0,1,1,2
16887,6,4,17,0,3,2,0
7176,6,4,14,1,11,2,0
11974,3,6,19,0,7,0,2
19373,2,1,21,0,8,0,0
2124,4,6,12,0,2,0,1
11583,2,0,14,0,4,2,1
5659,9,2,13,0,1,2,0
3976,6,2,14,0,2,2,0
732,2,4,16,0,4,1,1
5196,6,5,17,0,10,2,0
3763,3,2,11,0,0,1,1
79,9,1,9,0,0,2,0
4561,1,5,20,0,6,2,0
2331,1,6,14,0,3,2,0
4506,6,6,18,0,5,1,0
333,3,2,11,0,2,0,2
11124,3,1,11,0,1,2,1
20386,5,4,16,0,2,2,0
12799,8,1,12,0,0,1,1
21788,7,4,11,0,11,1,0
16329,8,4,11,0,11,1,0
9075,4,2,9,0,11,1,0
12965,4,4,14,0,1,1,1
14770,9,5,9,0,1,1,0
20803,2,4,17,0,5,2,0
6834,4,0,14,0,9,0,2
11892,1,5,15,0,6,1,0
17454,3,0,16,0,7,0,1
6177,7,5,14,0,4,1,1
6247,7,5,17,0,5,2,2
20507,6,5,15,0,3,2,0
11701,0,4,17,0,5,2,1
4289,9,5,16,0,4,2,0
10840,9,3,7,1,11,2,0
5400,0,5,14,0,11,1,1
214,4,1,11,0,1,2,1
16292,1,1,8,0,11,1,0
19407,6,4,19,0,8,0,0
4801,1,0,17,0,7,1,1
20369,8,5,16,0,2,2,0
3154,4,1,16,0,8,1,1
106,6,4,14,0,0,1,0
18997,6,0,18,0,5,2,0
17812,1,2,16,0,9,2,0
3404,4,0,14,0,10,2,1
7716,6,5,13,0,3,0,0
22026,5,3,16,0,1,0,0
18727,6,2,17,0,3,2,1
17237,6,4,17,0,5,1,0
6525,5,5,19,0,7,0,0
16828,7,0,10,0,3,0,1
6387,7,5,16,0,6,2,1
17527,6,0,17,0,7,1,0
18769,8,6,19,0,4,0,1
19231,0,1,16,0,7,0,0
1528,8,2,12,0,10,0,0
21814,3,3,10,1,11,1,1
965,5,2,18,0,6,2,0
16739,8,6,14,0,2,1,0
18609,8,1,15,0,3,0,1
455,5,4,9,0,3,0,0
16242,1,6,8,0,11,2,0
7053,3,2,14,0,10,2,1
12785,4,3,12,0,0,2,0
18306,5,2,12,0,0,1,0
22330,9,5,14,0,3,2,0
18066,5,6,11,0,11,2,0
13729,8,6,17,0,6,1,0
17140,9,1,19,0,5,2,1
20057,6,2,11,0,0,2,0
11198,7,1,14,0,2,0,2
21113,2,3,21,0,7,0,0
21372,1,0,27,0,9,0,1
17619,8,3,17,1,8,0,0
18547,6,5,13,0,2,2,0
3646,6,1,11,0,0,0,0
16414,3,2,10,1,0,2,1
173,3,4,9,0,1,0,2
16264,3,0,10,0,11,2,1
16919,8,3,16,0,3,1,0
8527,7,2,17,0,8,0,1
15249,8,1,13,0,4,1,0
12240,9,1,16,0,8,1,1
1526,6,2,12,0,10,0,0
8591,1,2,16,0,8,1,1
19498,7,2,17,0,8,1,2
749,9,0,14,0,4,1,0
611,1,2,15,0,4,0,0
8052,2,1,14,0,5,2,0
14272,1,5,16,0,10,2,0
18506,5,0,11,0,2,0,0
9331,0,4,12,0,1,1,0
5175,5,3,15,1,10,0,0
18430,9,4,11,0,1,1,0
7836,6,3,13,0,3,1,0
2030,0,1,13,0,1,2,1
13150,9,1,11,0,3,0,0
16624,3,2,11,0,1,1,2
16611,0,0,15,0,1,1,1
16119,8,4,13,0,10,2,0
348,8,3,11,0,2,0,0
20709,8,1,18,0,4,1,0
17979,8,1,12,0,10,1,0
20787,6,5,19,0,5,0,0
17945,4,0,15,0,10,2,1
3736,6,6,13,0,0,1,0
17931,0,4,14,0,10,2,0
15902,1,4,15,0,9,0,0
15808,7,1,23,0,8,2,1
1562,2,6,15,0,10,2,1
18049,8,1,15,0,11,0,0
5623,3,6,16,0,1,0,2
20037,6,4,13,0,0,0,0
18305,4,2,12,0,0,1,2
14428,7,6,9,0,11,2,2
2755,5,6,18,0,6,0,0
3212,2,3,14,1,9,0,0
7401,1,2,11,0,0,1,1
22041,0,5,13,0,1,2,0
13819,8,0,16,0,7,2,0
18573,2,0,12,0,2,1,0
13342,1,3,14,0,4,0,1
4721,1,4,18,0,7,2,0
8835,5,5,16,0,10,2,0
14522,1,2,10,0,0,0,2
5965,5,5,12,0,3,2,0
8254,4,3,18,0,6,2,1
12745,4,6,13,0,0,2,1
13000,9,3,13,0,1,1,1
4096,6,4,13,0,3,0,0
6459,9,5,21,0,6,1,0
18976,5,6,16,0,5,2,0
1565,5,6,15,0,10,2,0
18118,7,1,11,0,11,1,1
7711,1,5,13,0,3,0,0
17861,0,4,16,0,10,0,1
20460,9,4,14,0,3,0,0
14545,4,1,6,0,0,0,1
18522,1,3,13,0,2,0,0
20921,0,5,19,0,6,0,1
18194,3,5,10,0,0,0,1
22403,2,6,16,0,3,1,0
7276,6,3,9,1,11,1,0
10194,3,2,17,0,7,0,1
18874,3,3,17,0,4,2,1
15797,6,3,19,1,8,2,0
22432,1,2,16,0,4,0,1
11585,4,0,14,0,4,2,1
7463,3,0,14,0,1,0,1
4422,2,5,16,0,5,2,0
12060,9,4,18,0,7,2,1
2679,9,5,16,0,5,1,0
19667,6,5,14,0,9,1,0
18947,6,3,14,0,5,0,0
21538,7,3,14,1,10,0,1
21721,0,0,13,0,11,2,0
19676,5,6,14,0,9,1,0
1521,1,2,12,0,10,0,0
9913,2,2,16,0,5,2,0
10026,5,6,23,0,6,0,0
5030,0,3,17,1,9,0,1
16155,4,1,11,0,10,1,0
12528,7,5,14,0,10,1,2
3591,1,6,11,0,11,1,0
11487,6,5,12,0,3,1,0
3905,5,2,13,0,1,1,0
2446,6,3,19,0,4,0,0
7720,0,6,15,0,3,0,0
17128,7,3,16,0,5,0,1
12806,5,5,10,0,0,1,0
22374,3,3,14,0,3,2,1
7092,2,6,9,0,10,1,1
10610,9,0,18,0,9,1,0
2056,6,6,12,0,1,2,0
22037,6,1,16,0,1,2,0
2304,4,3,12,0,3,0,1
11775,4,4,18,0,5,1,0
4553,3,1,19,0,6,2,1
14401,0,1,13,0,11,2,1
19685,4,4,15,0,9,1,1
8387,7,2,16,0,7,2,1
12437,6,3,17,1,10,0,0
21850,9,6,12,0,0,0,0
15904,3,4,15,0,9,0,1
5346,6,6,9,0,11,2,0
641,1,5,14,0,4,2,0
9091,0,1,9,0,0,0,0
5361,1,0,8,0,11,2,1
4427,7,5,16,0,5,2,1
16704,3,3,12,0,2,2,1
1896,6,1,11,0,0,2,0
18283,2,4,12,0,0,1,1
18839,8,6,14,0,4,2,0
4429,9,5,16,0,5,2,0
12493,2,2,13,0,10,2,0
20651,0,6,25,0,4,2,0
3774,4,3,11,0,0,1,1
11495,4,6,12,0,3,1,1
216,6,1,11,0,1,2,0
12805,4,5,10,0,0,1,0
5291,1,0,10,0,11,0,0
4221,1,6,17,0,4,0,0
17264,3,3,17,0,6,0,1
20102,1,4,14,0,0,1,1
1615,5,1,9,0,10,1,0
3973,3,2,14,0,2,2,1
5860,0,2,13,0,2,1,0
10781,0,5,9,0,11,0,1
9593,2,5,11,0,3,2,0
21067,6,5,20,0,7,0,0
17114,3,2,16,0,5,0,1
1803,3,2,7,1,11,1,1
20275,4,3,13,0,1,1,1
21329,8,3,21,1,8,1,0
12900,9,4,12,0,1,2,1
16452,1,6,13,0,0,1,0
15135,4,4,18,0,4,0,1
18779,8,4,23,0,4,0,0
11208,7,5,12,0,2,0,1
21315,4,2,22,0,8,2,2
8135,5,5,16,0,5,1,0
772,2,1,17,0,5,0,0
10901,0,3,11,1,11,1,1
3597,7,6,11,0,11,1,1
394,4,0,12,0,2,1,2
13064,3,3,12,0,2,2,1
3427,7,3,13,1,10,2,1
15364,3,2,16,0,5,2,1
4948,8,0,15,0,8,1,0
5125,5,5,16,0,10,0,0
21810,9,2,9,0,11,1,0
19375,4,1,21,0,8,0,0
19094,3,1,17,0,6,0,1
16502,1,1,12,0,1,0,1
17938,7,4,14,0,10,2,2
19713,2,3,13,0,10,0,0
5717,7,0,13,0,1,1,2
2029,9,3,9,0,1,0,0
17899,8,3,19,0,10,0,0
22308,7,3,12,0,3,0,1
2057,7,6,12,0,1,2,2
12660,9,1,12,0,11,1,0
22025,4,3,16,0,1,0,1
14198,7,1,17,0,10,0,2
7562,2,1,15,0,2,0,0
21966,5,1,14,0,1,0,0
10872,1,4,9,0,11,1,0
22154,3,2,16,0,2,0,1
15297,6,2,16,0,5,0,0
20969,8,2,17,0,6,2,0
494,4,1,11,0,3,2,1
14006,5,6,18,0,8,1,0
2816,6,5,18,0,6,2,0
8938,8,0,9,0,10,1,0
19516,5,1,19,0,8,1,0
19999,8,3,13,1,11,1,1
14064,3,5,19,0,9,0,1
4098,8,4,13,0,3,0,0
7501,1,5,12,0,1,2,0
9881,0,6,19,0,5,2,1
19909,8,0,8,0,11,2,0
22189,8,5,15,0,2,2,0
16565,4,3,11,0,1,2,0
2288,8,0,18,0,3,0,0
1408,8,1,18,0,9,2,0
17202,1,1,16,0,5,1,0
18943,2,3,14,0,5,0,0
8153,3,4,17,0,5,1,1
13206,5,3,12,0,3,2,0
8204,4,5,18,0,6,0,0
20483,2,3,17,0,3,0,0
20334,3,2,14,0,2,0,1
13352,1,1,13,0,4,2,0
21656,5,0,13,0,10,1,0
18072,1,4,9,0,11,2,1
3678,8,4,7,0,0,2,0
5681,1,5,9,0,1,1,0
13538,7,0,14,0,5,2,1
7962,2,2,13,0,4,2,0
20315,4,4,15,0,2,0,1
7854,4,5,14,0,4,0,1
13418,7,3,13,0,4,1,2
1399,9,3,17,1,9,0,0
14570,9,6,11,0,0,2,1
11628,7,5,16,0,4,1,1
15221,0,2,14,0,4,1,0
506,6,5,11,0,3,2,0
22351,0,0,16,0,3,2,0
11551,0,5,13,0,4,2,0
11419,8,5,10,0,3,2,0
17285,4,5,17,0,6,0,0
22117,6,5,13,0,2,0,0
8108,8,2,14,0,5,2,0
2473,3,6,14,0,4,2,1
17779,8,5,17,0,9,2,1
4592,2,0,18,0,6,2,1
10330,9,0,25,0,8,0,1
1922,2,4,9,0,0,1,1
22339,8,6,15,0,3,2,1
7161,1,6,14,0,11,2,0
20391,0,0,14,0,2,1,1
7897,7,2,14,0,4,0,2
20660,9,6,25,0,4,2,0
6260,0,4,17,0,5,2,1
8142,2,6,16,0,5,1,0
4589,9,4,19,0,6,2,1
13406,5,2,13,0,4,1,0
22099,8,3,14,0,1,1,1
8966,6,1,9,0,11,0,0
14977,6,5,13,0,3,0,0
16924,3,1,16,0,3,1,2
4130,0,1,13,0,3,2,0
17667,6,0,17,0,8,1,0
18239,8,2,7,1,0,2,0
1217,7,6,19,0,8,0,2
6827,7,4,15,0,9,0,2
961,1,2,18,0,6,2,0
19502,1,3,17,1,8,1,1
19089,8,3,18,0,5,1,0
2391,1,5,21,0,3,1,0
279,9,3,12,0,1,1,0
1954,4,3,9,0,0,1,1
6321,1,6,18,0,5,1,0
6055,5,4,14,0,4,0,0
1740,0,3,10,1,11,2,0
21831,0,5,11,0,0,0,0
13592,1,4,16,0,6,0,0
8649,9,4,15,0,9,0,1
5962,2,5,12,0,3,2,0
15658,7,3,17,0,7,2,2
14106,5,2,20,0,9,0,0
1345,5,5,17,0,8,1,0
63,3,3,14,0,0,2,1
14798,7,0,8,0,1,1,1
3029,9,5,19,0,7,1,0
9829,8,4,15,0,4,1,0
21719,8,4,15,0,11,2,0
3192,2,0,16,0,9,0,1
9958,7,6,14,0,5,1,1
9973,2,0,17,0,5,1,1
1454,4,2,17,0,9,2,1
18190,9,1,9,0,0,0,0
9492,1,2,14,0,2,1,0
2598,8,1,14,0,5,0,0
17793,2,4,22,1,9,2,1
8824,4,1,13,1,10,2,0
1817,7,3,7,0,11,1,1
17564,3,5,14,0,8,0,1
8253,3,3,18,0,6,2,1
21855,4,4,13,0,0,0,1
8097,7,0,19,0,5,2,2
3098,8,5,21,0,8,2,0
15071,0,0,12,0,3,1,0
15714,3,2,17,0,7,1,1
10936,5,6,9,0,0,0,0
17469,8,2,17,0,7,2,0
6822,2,4,15,0,9,0,1
633,3,1,14,0,4,2,1
16250,9,6,8,0,11,2,0
6961,1,4,16,0,10,0,0
9924,3,3,13,0,5,2,1
7080,0,5,9,0,10,1,1
